R0,Cases
0.14423076923076922,1
0.1451923076923077,3
0.14615384615384616,0
0.14711538461538462,1
0.14807692307692308,1
0.14903846153846154,1
0.15,1
0.15096153846153845,2
0.1519230769230769,6
0.1528846153846154,4
0.15384615384615385,2
0.1548076923076923,4
0.15576923076923077,3
0.15673076923076923,2
0.1576923076923077,3
0.15865384615384615,2
0.1596153846153846,1
0.1605769230769231,1
0.16153846153846155,2
0.1625,0
0.16346153846153846,1
0.16442307692307692,0
0.16538461538461538,1
0.16634615384615384,6
0.1673076923076923,4
0.16826923076923078,3
0.16923076923076924,6
0.1701923076923077,6
0.17115384615384616,1
0.17211538461538461,4
0.17307692307692307,3
0.17403846153846153,2
0.175,1
0.17596153846153847,2
0.17692307692307693,0
0.1778846153846154,1
0.17884615384615385,2
0.1798076923076923,2
0.18076923076923077,3
0.18173076923076922,1
0.18269230769230768,1
0.18365384615384617,0
0.18461538461538463,1
0.18557692307692308,1
0.18653846153846154,1
0.1875,1
0.18846153846153846,2
0.18942307692307692,1
0.19038461538461537,1
0.19134615384615383,1
0.19230769230769232,2
0.19326923076923078,2
0.19423076923076923,2
0.1951923076923077,2
0.19615384615384615,2
0.1971153846153846,2
0.19807692307692307,2
0.19903846153846153,1
0.2,1
0.20096153846153847,1
0.20192307692307693,1
0.20288461538461539,1
0.20384615384615384,2
0.2048076923076923,2
0.20576923076923076,3
0.20673076923076922,2
0.2076923076923077,2
0.20865384615384616,5
0.20961538461538462,0
0.21057692307692308,0
0.21153846153846154,1
0.2125,1
0.21346153846153845,3
0.2144230769230769,4
0.2153846153846154,1
0.21634615384615385,1
0.2173076923076923,1
0.21826923076923077,1
0.21923076923076923,1
0.2201923076923077,2
0.22115384615384615,1
0.2221153846153846,1
0.2230769230769231,1
0.22403846153846155,1
0.225,1
0.22596153846153846,1
0.22692307692307692,1
0.22788461538461538,0
0.22884615384615384,1
0.2298076923076923,2
0.23076923076923078,4
0.23173076923076924,5
0.2326923076923077,2
0.23365384615384616,1
0.23461538461538461,1
0.23557692307692307,1
0.23653846153846153,1
0.2375,1
0.23846153846153847,2
0.23942307692307693,2
0.2403846153846154,1
0.24134615384615385,1
0.2423076923076923,1
0.24326923076923077,1
0.24423076923076922,0
0.24519230769230768,2
0.24615384615384617,2
0.24711538461538463,1
0.24807692307692308,1
0.24903846153846154,1
0.25,2
0.25096153846153846,0
0.2519230769230769,0
0.2528846153846154,1
